classification,Coin,Closed PnL
Neutral,AAVE,-5627.986742
Neutral,ADA,19.898500000000002
Neutral,AI,0.0
Neutral,AI16Z,-1120.618594
Neutral,AIXBT,21990.866694
Neutral,ALGO,4.0068
Neutral,ALT,2323.99174
Neutral,ANIME,-78.931119
Neutral,APE,136.779738
Neutral,APT,5.714354
Neutral,ARB,82.437013
Neutral,ATOM,0.15312
Neutral,AVAX,35440.071585
Neutral,BANANA,0.0
Neutral,BERA,-21617.07674
Neutral,BIGTIME,-1.1952
Neutral,BLAST,1.065303
Neutral,BLUR,27.531007
Neutral,BNB,506.52299999999997
Neutral,BOME,-9.122938
Neutral,BRETT,2.8551
Neutral,BTC,165980.345627
Neutral,CAKE,594.282727
Neutral,CHILLGUY,61.86884
Neutral,DOGE,115809.466287
Neutral,DOT,9.13481
Neutral,DYDX,18.919256
Neutral,DYM,5.768124
Neutral,EIGEN,11.516813
Neutral,ENA,-4368.01318
Neutral,ETC,38.32488
Neutral,ETH,61574.088597999995
Neutral,ETHFI,2673.269384
Neutral,FARTCOIN,-1621.812307
Neutral,FTM,0.004343
Neutral,FTT,917.566714
Neutral,GALA,13.101431
Neutral,GAS,60.6139
Neutral,GMT,11.447352
Neutral,GMX,15.167606
Neutral,GOAT,15.5193
Neutral,GRASS,20.655617999999997
Neutral,GRIFFAIN,-609.7154129999999
Neutral,HBAR,8.85375
Neutral,HPOS,117.89757
Neutral,HYPE,300100.241102
Neutral,ILV,-0.04207
Neutral,IMX,4.30904
Neutral,IO,42.11446
Neutral,IP,957.22932
Neutral,JELLY,3539.484892
Neutral,JTO,-1116.809707
Neutral,JUP,134.531822
Neutral,KAITO,879.870453
Neutral,LAYER,7307.4351
Neutral,LDO,85.906066
Neutral,LINK,189.49091900000002
Neutral,LISTA,4.46974
Neutral,LOOM,0.0
Neutral,LTC,16.43157
Neutral,MAV,0.0189
Neutral,MAVIA,1395.255089
Neutral,ME,-3278.346756
Neutral,MELANIA,41298.450046
Neutral,MEME,163.009986
Neutral,MEW,4.398952
Neutral,MKR,29.645515
Neutral,MOODENG,6.84105
Neutral,MOVE,0.5021180000000001
Neutral,MYRO,2.28114
Neutral,NEAR,3.2119500000000003
Neutral,NIL,-3175.273635
Neutral,NTRN,187.309212
Neutral,OGN,1752.668422
Neutral,OM,-881.40554
Neutral,ONDO,1225.839495
Neutral,OP,82.364683
Neutral,PAXG,-19037.340561
Neutral,PENDLE,2247.635948
Neutral,PENGU,1199.141133
Neutral,PEOPLE,0.0
Neutral,PNUT,984.738976
Neutral,POPCAT,-38.261680999999925
Neutral,PROMPT,-95.33896
Neutral,PURR,1023.002126
Neutral,PURR/USDC,-12286.961953
Neutral,PYTH,593.672754
Neutral,RENDER,15.62623
Neutral,RLB,0.0
Neutral,RUNE,27.598647999999997
Neutral,S,-2.204838
Neutral,SAND,89.03839400000001
Neutral,SEI,2524.55573
Neutral,SHIA,0.0
Neutral,SOL,303376.19465
Neutral,STRK,4.74515
Neutral,STX,0.0
Neutral,SUI,3459.360278
Neutral,SUPER,7.114800000000001
Neutral,SUSHI,6.644702
Neutral,TAO,-259.832604
Neutral,TIA,-2503.097638
Neutral,TNSR,198.35476400000002
Neutral,TRUMP,20121.153242
Neutral,TST,3535.1932920000004
Neutral,UNI,25.506432
Neutral,USTC,73.721649
Neutral,USUAL,697.075108
Neutral,VINE,3845.866111
Neutral,VIRTUAL,33.341692
Neutral,VVV,655.000942
Neutral,W,25.733387999999998
Neutral,WIF,105.858215
Neutral,WLD,-4049.551922
Neutral,XRP,37.59189
Neutral,YGG,19.82739
Neutral,ZEREBRO,3420.751088
Neutral,ZETA,-13.88379
Neutral,ZRO,36172.38052
Neutral,kBONK,130.04645799999997
Neutral,kFLOKI,4.08395
Neutral,kNEIRO,-2.840308
Neutral,kPEPE,-152.164238
Neutral,kSHIB,0.5267
